A	197	4.43394103083502
C	139	3.12851676794958
D	180	4.05131667792032
E	336	7.5624577987846
F	96	2.16070222822417
G	281	6.32455548053117
H	103	2.31825343236552
I	161	3.62367769525096
K	172	3.87125815890164
L	338	7.60747242853928
M	137	3.08350213819491
N	101	2.27323880261085
P	199	4.47895566058969
Q	397	8.93540400630205
R	636	14.3146522619851
S	287	6.45959936979518
T	138	3.10600945307225
V	166	3.73621426963763
W	166	3.73621426963763
X	4	0.0900292595093405
Y	207	4.65901417960837
y	2	0.0450146297546703
